Country,Gender,GenderCount
Afghanistan,Female,1.0
Afghanistan,"Female;Male;Transgender;Non-binary, genderqueer, or gender non-conforming",1.0
Afghanistan,Male,17.0
Albania,Female,4.0
Albania,Male,45.0
Algeria,Female,3.0
Algeria,Female;Male,1.0
Algeria,"Female;Male;Transgender;Non-binary, genderqueer, or gender non-conforming",1.0
Algeria,Male,55.0
Algeria,"Male;Non-binary, genderqueer, or gender non-conforming",1.0
Andorra,Female,1.0
Andorra,Male,5.0
Angola,Male,2.0
Antigua and Barbuda,Male,1.0
Argentina,Female,41.0
Argentina,"Female;Non-binary, genderqueer, or gender non-conforming",1.0
Argentina,Female;Transgender,1.0
Argentina,Male,369.0
Argentina,"Male;Non-binary, genderqueer, or gender non-conforming",2.0
Argentina,"Non-binary, genderqueer, or gender non-conforming",3.0
Armenia,Female,8.0
Armenia,Female;Male;Transgender,1.0
Armenia,"Female;Male;Transgender;Non-binary, genderqueer, or gender non-conforming",1.0
Armenia,Male,51.0
Armenia,"Non-binary, genderqueer, or gender non-conforming",1.0
Armenia,Transgender,1.0
Australia,Female,85.0
Australia,Female;Male,2.0
Australia,"Female;Male;Non-binary, genderqueer, or gender non-conforming",1.0
Australia,"Female;Male;Transgender;Non-binary, genderqueer, or gender non-conforming",1.0
Australia,"Female;Non-binary, genderqueer, or gender non-conforming",2.0
Australia,Female;Transgender,5.0
Australia,"Female;Transgender;Non-binary, genderqueer, or gender non-conforming",1.0
Australia,Male,1389.0
Australia,"Male;Non-binary, genderqueer, or gender non-conforming",5.0
Australia,"Non-binary, genderqueer, or gender non-conforming",2.0
Australia,Transgender,1.0
Australia,"Transgender;Non-binary, genderqueer, or gender non-conforming",2.0
Austria,Female,25.0
Austria,Male,513.0
Austria,"Male;Non-binary, genderqueer, or gender non-conforming",1.0
Austria,"Non-binary, genderqueer, or gender non-conforming",2.0
Austria,Transgender,2.0
Austria,"Transgender;Non-binary, genderqueer, or gender non-conforming",1.0
Azerbaijan,Male,44.0
Azerbaijan,"Non-binary, genderqueer, or gender non-conforming",1.0
Bahamas,Male,2.0
Bahrain,Male,9.0
Bangladesh,Female,13.0
Bangladesh,Female;Male,2.0
Bangladesh,Female;Male;Transgender,1.0
Bangladesh,"Female;Male;Transgender;Non-binary, genderqueer, or gender non-conforming",1.0
Bangladesh,Male,357.0
Bangladesh,Transgender,1.0
Barbados,Male,3.0
Belarus,Female,13.0
Belarus,"Female;Male;Transgender;Non-binary, genderqueer, or gender non-conforming",1.0
Belarus,Male,175.0
Belarus,"Male;Non-binary, genderqueer, or gender non-conforming",1.0
Belgium,Female,17.0
Belgium,Female;Male,1.0
Belgium,Female;Transgender,2.0
Belgium,Male,518.0
Belgium,"Male;Non-binary, genderqueer, or gender non-conforming",1.0
Belgium,"Non-binary, genderqueer, or gender non-conforming",1.0
Belgium,Transgender,1.0
Belize,Male,1.0
Benin,Male,4.0
Bhutan,Female;Male,1.0
Bhutan,Male,2.0
Bolivia,Female,2.0
Bolivia,Male,21.0
Bosnia and Herzegovina,Female,3.0
Bosnia and Herzegovina,Male,77.0
Bosnia and Herzegovina,"Male;Non-binary, genderqueer, or gender non-conforming",1.0
Bosnia and Herzegovina,"Non-binary, genderqueer, or gender non-conforming",1.0
Bosnia and Herzegovina,Transgender,1.0
Botswana,Male,3.0
Brazil,Female,58.0
Brazil,Female;Male,1.0
Brazil,"Female;Non-binary, genderqueer, or gender non-conforming",1.0
Brazil,Female;Transgender,2.0
Brazil,Male,1513.0
Brazil,"Male;Non-binary, genderqueer, or gender non-conforming",1.0
Brazil,"Non-binary, genderqueer, or gender non-conforming",4.0
Brazil,Transgender,1.0
Brazil,"Transgender;Non-binary, genderqueer, or gender non-conforming",1.0
Bulgaria,Female,17.0
Bulgaria,Male,275.0
Burkina Faso,Male,1.0
Burundi,Male,1.0
Cambodia,Female,1.0
Cambodia,Male,23.0
Cambodia,"Non-binary, genderqueer, or gender non-conforming",1.0
Cameroon,Female,1.0
Cameroon,Female;Male,1.0
Cameroon,Male,21.0
Cameroon,Male;Transgender,1.0
Canada,Female,208.0
Canada,"Female;Male;Transgender;Non-binary, genderqueer, or gender non-conforming",3.0
Canada,"Female;Non-binary, genderqueer, or gender non-conforming",4.0
Canada,Female;Transgender,8.0
Canada,"Female;Transgender;Non-binary, genderqueer, or gender non-conforming",2.0
Canada,Male,2201.0
Canada,"Male;Non-binary, genderqueer, or gender non-conforming",6.0
Canada,"Non-binary, genderqueer, or gender non-conforming",17.0
Canada,Transgender,4.0
Canada,"Transgender;Non-binary, genderqueer, or gender non-conforming",3.0
Cape Verde,Male,1.0
Chile,Female,13.0
Chile,Male,128.0
Chile,"Male;Non-binary, genderqueer, or gender non-conforming",1.0
Chile,"Non-binary, genderqueer, or gender non-conforming",1.0
China,Female,28.0
China,Female;Male,7.0
China,"Female;Male;Transgender;Non-binary, genderqueer, or gender non-conforming",1.0
China,Female;Transgender,1.0
China,"Female;Transgender;Non-binary, genderqueer, or gender non-conforming",2.0
China,Male,368.0
China,"Male;Non-binary, genderqueer, or gender non-conforming",3.0
China,"Non-binary, genderqueer, or gender non-conforming",4.0
China,Transgender,4.0
