Country,Gender,GenderCount
Afghanistan,Female,1.0
Afghanistan,Female; Gender non-conforming; Other,1.0
Afghanistan,Male,9.0
Afghanistan,Male; Other,1.0
Aland Islands,Male,2.0
Aland Islands,Male; Female; Transgender,1.0
Albania,Female,3.0
Albania,Gender non-conforming,1.0
Albania,Male,28.0
Albania,Male; Other,1.0
Albania,Other,1.0
Algeria,Female,1.0
Algeria,Gender non-conforming,1.0
Algeria,Male,15.0
Algeria,Other,1.0
American Samoa,Other,1.0
Andorra,Male,3.0
Angola,Male,1.0
Anguilla,Other,1.0
Antarctica,Female,1.0
Antarctica,Male,5.0
Antigua and Barbuda,Male,3.0
Argentina,Female,8.0
Argentina,Gender non-conforming,1.0
Argentina,Male,151.0
Argentina,Male; Gender non-conforming,1.0
Argentina,Male; Other,1.0
Argentina,Male; Transgender; Gender non-conforming,1.0
Armenia,Female,5.0
Armenia,Male,22.0
Australia,Female,40.0
Australia,Female; Transgender,3.0
Australia,Female; Transgender; Gender non-conforming; Other,1.0
Australia,Gender non-conforming,3.0
Australia,Male,634.0
Australia,Male; Female,1.0
Australia,Male; Female; Transgender; Gender non-conforming; Other,1.0
Australia,Male; Gender non-conforming,3.0
Australia,Male; Other,7.0
Australia,Male; Transgender; Gender non-conforming,1.0
Australia,Other,6.0
Australia,Transgender,2.0
Austria,Female,23.0
Austria,Gender non-conforming,2.0
Austria,Male,322.0
Austria,Male; Gender non-conforming,1.0
Austria,Male; Other,8.0
Austria,Other,2.0
Azerbaidjan,Female,1.0
Azerbaidjan,Male,10.0
Azerbaidjan,Male; Gender non-conforming,1.0
Azerbaidjan,Other,1.0
Bahrain,Female,1.0
Bahrain,Male,5.0
Bangladesh,Female,7.0
Bangladesh,Male,95.0
Barbados,Male,2.0
Belarus,Female,3.0
Belarus,Male,47.0
Belarus,Male; Gender non-conforming,1.0
Belgium,Female,10.0
Belgium,Male,287.0
Belgium,Male; Other,2.0
Belize,Male,1.0
Benin,Male,2.0
Bermuda,Male,1.0
Bolivia,Male,12.0
Bosnia-Herzegovina,Female,3.0
Bosnia-Herzegovina,Male,42.0
Bosnia-Herzegovina,Other,1.0
Botswana,Male,3.0
Brazil,Female,25.0
Brazil,Male,491.0
Brazil,Male; Female; Transgender; Gender non-conforming; Other,1.0
Brazil,Male; Gender non-conforming,1.0
Brazil,Male; Other,3.0
Brazil,Other,2.0
Brunei Darussalam,Female,1.0
Brunei Darussalam,Male,1.0
Bulgaria,Female,19.0
Bulgaria,Female; Gender non-conforming,1.0
Bulgaria,Male,159.0
Bulgaria,Male; Gender non-conforming,2.0
Bulgaria,Other,5.0
Cambodia,Female,1.0
Cambodia,Male,5.0
Cambodia,Transgender,1.0
Cameroon,Male,7.0
Canada,Female,150.0
Canada,Female; Gender non-conforming,2.0
Canada,Female; Transgender; Gender non-conforming,1.0
Canada,Gender non-conforming,9.0
Canada,Male,1446.0
Canada,Male; Female,1.0
Canada,Male; Female; Transgender; Gender non-conforming; Other,1.0
Canada,Male; Gender non-conforming,2.0
Canada,Male; Other,6.0
Canada,Male; Transgender,2.0
Canada,Other,6.0
Canada,Transgender,3.0
Canada,Transgender; Gender non-conforming,1.0
Cape Verde,Male,1.0
Cayman Islands,Male,2.0
Chad,Other,1.0
Chile,Female,1.0
Chile,Male,74.0
