Country,Age,AgeCount
Afghanistan,18 - 24 years old,10.0
Afghanistan,25 - 34 years old,10.0
Afghanistan,55 - 64 years old,1.0
Afghanistan,65 years or older,1.0
Afghanistan,Under 18 years old,1.0
Albania,18 - 24 years old,41.0
Albania,25 - 34 years old,22.0
Albania,35 - 44 years old,8.0
Albania,Under 18 years old,1.0
Algeria,18 - 24 years old,46.0
Algeria,25 - 34 years old,44.0
Algeria,35 - 44 years old,9.0
Algeria,45 - 54 years old,5.0
Algeria,55 - 64 years old,2.0
Algeria,Under 18 years old,3.0
Andorra,18 - 24 years old,3.0
Andorra,45 - 54 years old,1.0
Angola,18 - 24 years old,2.0
Angola,35 - 44 years old,1.0
Antigua and Barbuda,18 - 24 years old,1.0
Antigua and Barbuda,Under 18 years old,1.0
Argentina,18 - 24 years old,95.0
Argentina,25 - 34 years old,257.0
Argentina,35 - 44 years old,128.0
Argentina,45 - 54 years old,18.0
Argentina,55 - 64 years old,6.0
Argentina,65 years or older,2.0
Argentina,Under 18 years old,16.0
Armenia,18 - 24 years old,26.0
Armenia,25 - 34 years old,49.0
Armenia,35 - 44 years old,1.0
Armenia,45 - 54 years old,1.0
Armenia,Under 18 years old,1.0
Australia,18 - 24 years old,279.0
Australia,25 - 34 years old,698.0
Australia,35 - 44 years old,426.0
Australia,45 - 54 years old,165.0
Australia,55 - 64 years old,49.0
Australia,65 years or older,10.0
Australia,Under 18 years old,65.0
Austria,18 - 24 years old,211.0
Austria,25 - 34 years old,341.0
Austria,35 - 44 years old,139.0
Austria,45 - 54 years old,35.0
Austria,55 - 64 years old,7.0
Austria,65 years or older,2.0
Austria,Under 18 years old,29.0
Azerbaijan,18 - 24 years old,14.0
Azerbaijan,25 - 34 years old,21.0
Azerbaijan,35 - 44 years old,3.0
Azerbaijan,65 years or older,1.0
Azerbaijan,Under 18 years old,2.0
Bahamas,35 - 44 years old,1.0
Bahrain,18 - 24 years old,5.0
Bahrain,25 - 34 years old,9.0
Bahrain,35 - 44 years old,1.0
Bahrain,Under 18 years old,2.0
Bangladesh,18 - 24 years old,136.0
Bangladesh,25 - 34 years old,283.0
Bangladesh,35 - 44 years old,27.0
Bangladesh,65 years or older,2.0
Bangladesh,Under 18 years old,11.0
Barbados,18 - 24 years old,1.0
Barbados,25 - 34 years old,1.0
Belarus,18 - 24 years old,62.0
Belarus,25 - 34 years old,94.0
Belarus,35 - 44 years old,28.0
Belarus,45 - 54 years old,2.0
Belarus,55 - 64 years old,1.0
Belarus,Under 18 years old,2.0
Belgium,18 - 24 years old,149.0
Belgium,25 - 34 years old,340.0
Belgium,35 - 44 years old,134.0
Belgium,45 - 54 years old,34.0
Belgium,55 - 64 years old,16.0
Belgium,65 years or older,6.0
Belgium,Under 18 years old,17.0
Belize,18 - 24 years old,1.0
Benin,18 - 24 years old,2.0
Benin,25 - 34 years old,1.0
Benin,35 - 44 years old,1.0
Bhutan,18 - 24 years old,2.0
Bolivia,18 - 24 years old,4.0
Bolivia,25 - 34 years old,21.0
Bolivia,35 - 44 years old,8.0
Bosnia and Herzegovina,18 - 24 years old,31.0
Bosnia and Herzegovina,25 - 34 years old,40.0
Bosnia and Herzegovina,35 - 44 years old,19.0
Bosnia and Herzegovina,45 - 54 years old,2.0
Bosnia and Herzegovina,55 - 64 years old,1.0
Bosnia and Herzegovina,Under 18 years old,5.0
Botswana,18 - 24 years old,1.0
Botswana,25 - 34 years old,4.0
Brazil,18 - 24 years old,539.0
Brazil,25 - 34 years old,947.0
Brazil,35 - 44 years old,265.0
Brazil,45 - 54 years old,64.0
Brazil,55 - 64 years old,9.0
Brazil,65 years or older,3.0
Brazil,Under 18 years old,42.0
Brunei Darussalam,18 - 24 years old,1.0
Bulgaria,18 - 24 years old,151.0
Bulgaria,25 - 34 years old,295.0
Bulgaria,35 - 44 years old,109.0
Bulgaria,45 - 54 years old,19.0
Bulgaria,55 - 64 years old,5.0
Bulgaria,Under 18 years old,22.0
Burkina Faso,18 - 24 years old,3.0
Burkina Faso,25 - 34 years old,1.0
Burundi,18 - 24 years old,1.0
Burundi,25 - 34 years old,2.0
Cambodia,18 - 24 years old,7.0
Cambodia,25 - 34 years old,7.0
Cambodia,35 - 44 years old,1.0
Cameroon,18 - 24 years old,23.0
Cameroon,25 - 34 years old,19.0
Cameroon,35 - 44 years old,1.0
Canada,18 - 24 years old,662.0
Canada,25 - 34 years old,1331.0
Canada,35 - 44 years old,640.0
Canada,45 - 54 years old,224.0
Canada,55 - 64 years old,68.0
Canada,65 years or older,22.0
Canada,Under 18 years old,96.0
Cape Verde,25 - 34 years old,1.0
Chad,25 - 34 years old,1.0
Chile,18 - 24 years old,35.0
Chile,25 - 34 years old,115.0
Chile,35 - 44 years old,39.0
Chile,45 - 54 years old,6.0
Chile,55 - 64 years old,1.0
Chile,Under 18 years old,3.0
China,18 - 24 years old,165.0
China,25 - 34 years old,252.0
China,35 - 44 years old,51.0
China,45 - 54 years old,3.0
China,65 years or older,1.0
China,Under 18 years old,15.0
Colombia,18 - 24 years old,83.0
Colombia,25 - 34 years old,150.0
Colombia,35 - 44 years old,50.0
Colombia,45 - 54 years old,4.0
Colombia,65 years or older,1.0
Colombia,Under 18 years old,4.0
"Congo, Republic of the...",18 - 24 years old,3.0
"Congo, Republic of the...",25 - 34 years old,3.0
"Congo, Republic of the...",65 years or older,1.0
Costa Rica,18 - 24 years old,22.0
Costa Rica,25 - 34 years old,31.0
Costa Rica,35 - 44 years old,19.0
Costa Rica,45 - 54 years old,2.0
Costa Rica,55 - 64 years old,1.0
Croatia,18 - 24 years old,63.0
Croatia,25 - 34 years old,117.0
Croatia,35 - 44 years old,37.0
Croatia,45 - 54 years old,20.0
Croatia,55 - 64 years old,1.0
Croatia,Under 18 years old,2.0
Cuba,18 - 24 years old,9.0
Cuba,25 - 34 years old,14.0
Cuba,35 - 44 years old,6.0
Cyprus,18 - 24 years old,15.0
Cyprus,25 - 34 years old,31.0
Cyprus,35 - 44 years old,9.0
Cyprus,45 - 54 years old,1.0
Cyprus,55 - 64 years old,1.0
Czech Republic,18 - 24 years old,154.0
Czech Republic,25 - 34 years old,344.0
Czech Republic,35 - 44 years old,147.0
Czech Republic,45 - 54 years old,14.0
Czech Republic,55 - 64 years old,5.0
Czech Republic,Under 18 years old,36.0
C̫te d'Ivoire,18 - 24 years old,6.0
C̫te d'Ivoire,25 - 34 years old,21.0
C̫te d'Ivoire,45 - 54 years old,1.0
Democratic People's Republic of Korea,25 - 34 years old,1.0
Democratic Republic of the Congo,18 - 24 years old,1.0
Democratic Republic of the Congo,25 - 34 years old,2.0
Democratic Republic of the Congo,35 - 44 years old,2.0
Denmark,18 - 24 years old,100.0
Denmark,25 - 34 years old,256.0
Denmark,35 - 44 years old,133.0
Denmark,45 - 54 years old,50.0
Denmark,55 - 64 years old,15.0
Denmark,65 years or older,4.0
Denmark,Under 18 years old,14.0
Djibouti,18 - 24 years old,1.0
Djibouti,35 - 44 years old,1.0
Dominica,25 - 34 years old,1.0
Dominican Republic,18 - 24 years old,36.0
Dominican Republic,25 - 34 years old,42.0
Dominican Republic,35 - 44 years old,8.0
Dominican Republic,45 - 54 years old,4.0
Dominican Republic,Under 18 years old,1.0
Ecuador,18 - 24 years old,12.0
Ecuador,25 - 34 years old,43.0
Ecuador,35 - 44 years old,20.0
Ecuador,45 - 54 years old,2.0
Ecuador,55 - 64 years old,2.0
Egypt,18 - 24 years old,122.0
Egypt,25 - 34 years old,121.0
Egypt,35 - 44 years old,22.0
Egypt,45 - 54 years old,3.0
Egypt,Under 18 years old,17.0
El Salvador,18 - 24 years old,18.0
El Salvador,25 - 34 years old,39.0
El Salvador,35 - 44 years old,4.0
El Salvador,45 - 54 years old,2.0
Estonia,18 - 24 years old,42.0
Estonia,25 - 34 years old,102.0
Estonia,35 - 44 years old,33.0
Estonia,45 - 54 years old,3.0
Estonia,55 - 64 years old,2.0
Estonia,Under 18 years old,3.0
Ethiopia,18 - 24 years old,22.0
Ethiopia,25 - 34 years old,16.0
Ethiopia,35 - 44 years old,3.0
Ethiopia,Under 18 years old,1.0
Fiji,18 - 24 years old,1.0
Fiji,25 - 34 years old,2.0
Fiji,65 years or older,1.0
Finland,18 - 24 years old,68.0
Finland,25 - 34 years old,230.0
Finland,35 - 44 years old,145.0
Finland,45 - 54 years old,31.0
